ts_ms,op,lat_ms,hops,k,ext
1777907036828,GET,31,2,k66,reqs=75
1777907036826,GET,37,4,k61,reqs=75
1777907036825,GET,26,3,k67,reqs=75
1777907036815,GET,40,4,k58,reqs=75
1777907036813,GET,43,2,k56,reqs=75
1777907036812,GET,137,3,k15,reqs=75
1777907036810,GET,59,3,k48,reqs=75
1777907036810,GET,32,3,k59,reqs=75
1777907036807,GET,57,3,k47,reqs=75
1777907036805,GET,52,2,k49,reqs=75
1777907036805,GET,146,2,k9,reqs=75
1777907036803,GET,59,3,k44,reqs=75
1777907036799,GET,30,4,k53,reqs=75
1777907036798,GET,145,3,k3,reqs=75
1777907036797,GET,31,3,k54,reqs=75
1777907036797,GET,51,3,k45,reqs=75
1777907036796,GET,142,3,k2,reqs=75
1777907036792,GET,34,2,k51,reqs=75
1777907036791,GET,51,2,k43,reqs=75
1777907036791,GET,82,3,k27,reqs=75
1777907036790,GET,136,4,k1,reqs=75
1777907036786,GET,73,2,k31,reqs=75
1777907036786,GET,72,3,k32,reqs=75
1777907036786,GET,130,2,k0,reqs=75
1777907036782,GET,59,3,k36,reqs=75
1777907036782,GET,35,3,k46,reqs=75
1777907036778,GET,50,3,k38,reqs=75
1777907036778,GET,84,2,k22,reqs=75
1777907036778,GET,101,2,k16,reqs=75
1777907036777,GET,98,3,k17,reqs=75
1777907036776,GET,78,4,k25,reqs=75
1777907036776,GET,81,3,k23,reqs=75
1777907036775,GET,79,2,k24,reqs=75
1777907036772,GET,46,4,k37,reqs=75
1777907036771,GET,33,2,k42,reqs=75
1777907036771,GET,41,3,k39,reqs=75
1777907036771,GET,101,4,k13,reqs=75
1777907036853,GET,45,4,k70,reqs=75
1777907036767,GET,114,4,k4,reqs=75
1777907036765,GET,29,4,k41,reqs=75
1777907036764,GET,64,4,k26,reqs=75
1777907036764,GET,78,4,k20,reqs=75
1777907036763,GET,82,4,k18,reqs=75
1777907036856,GET,70,2,k62,reqs=75
1777907036759,GET,49,2,k29,reqs=75
1777907036758,GET,37,4,k35,reqs=75
1777907036758,GET,105,2,k6,reqs=75
1777907036867,GET,55,2,k73,reqs=75
1777907036758,GET,95,2,k10,reqs=75
1777907036758,GET,75,2,k19,reqs=75
1777907036756,GET,82,2,k14,reqs=75
1777907036756,GET,48,2,k28,reqs=75
1777907036754,GET,87,3,k12,reqs=75
1777907036873,GET,65,3,k69,reqs=75
1777907036754,GET,89,4,k11,reqs=75
1777907036875,GET,67,2,k68,reqs=75
1777907036754,GET,22,2,k40,reqs=75
1777907036751,GET,40,3,k30,reqs=75
1777907036751,GET,61,3,k21,reqs=75
1777907036750,GET,29,2,k33,reqs=75
1777907036749,GET,94,4,k5,reqs=75
1777907036749,GET,92,2,k8,reqs=75
1777907036748,GET,93,4,k7,reqs=75
1777907036873,GET,63,4,k72,reqs=75
1777907036872,GET,58,3,k74,reqs=75
1777907036844,GET,60,2,k60,reqs=75
1777907036839,GET,66,4,k57,reqs=75
1777907036836,GET,27,2,k71,reqs=75
1777907036835,GET,44,4,k64,reqs=75
1777907037755,GET,49,2,k15,reqs=75
1777907037779,GET,94,2,k0,reqs=75
1777907037775,GET,63,2,k19,reqs=75
1777907037772,GET,44,2,k24,reqs=75
1777907037769,GET,83,3,k7,reqs=75
1777907037762,GET,22,2,k30,reqs=75
1777907037758,GET,73,3,k6,reqs=75
1777907037783,GET,66,2,k21,reqs=75
1777907037784,GET,35,2,k34,reqs=75
1777907037784,GET,51,4,k27,reqs=75
1777907037785,GET,94,2,k11,reqs=75
1777907037786,GET,71,2,k20,reqs=75
1777907037788,GET,25,3,k41,reqs=75
1777907037789,GET,44,2,k33,reqs=75
1777907037789,GET,70,4,k22,reqs=75
1777907037790,GET,104,4,k4,reqs=75
1777907037791,GET,101,3,k10,reqs=75
1777907037792,GET,22,4,k44,reqs=75
1777907037793,GET,69,4,k23,reqs=75
1777907037795,GET,98,2,k12,reqs=75
1777907037795,GET,90,2,k16,reqs=75
1777907037797,GET,31,2,k42,reqs=75
1777907037797,GET,111,3,k8,reqs=75
1777907037799,GET,113,4,k1,reqs=75
1777907037799,GET,114,4,k5,reqs=75
1777907037800,GET,113,3,k9,reqs=75
1777907037800,GET,71,2,k25,reqs=75
1777907037800,GET,39,4,k40,reqs=75
1777907037801,GET,66,2,k28,reqs=75
1777907037803,GET,117,2,k3,reqs=75
1777907037803,GET,66,3,k29,reqs=75
1777907037805,GET,103,2,k14,reqs=75
1777907037805,GET,50,3,k37,reqs=75
1777907037807,GET,77,3,k26,reqs=75
1777907037807,GET,99,4,k17,reqs=75
1777907037808,GET,49,4,k39,reqs=75
1777907037808,GET,52,4,k38,reqs=75
1777907037809,GET,110,4,k13,reqs=75
1777907037810,GET,42,2,k43,reqs=75
1777907037811,GET,30,3,k49,reqs=75
1777907037811,GET,101,4,k18,reqs=75
1777907037811,GET,126,4,k2,reqs=75
1777907037814,GET,70,4,k32,reqs=75
1777907037818,GET,45,2,k45,reqs=75
1777907037814,GET,72,2,k31,reqs=75
1777907037817,GET,64,2,k36,reqs=75
1777907037821,GET,70,3,k35,reqs=75
1777907037823,GET,43,2,k48,reqs=75
1777907037823,GET,48,4,k46,reqs=75
1777907037830,GET,32,2,k56,reqs=75
1777907037830,GET,40,2,k52,reqs=75
1777907037831,GET,39,3,k53,reqs=75
1777907037842,GET,23,4,k65,reqs=75
1777907037845,GET,68,2,k47,reqs=75
1777907037847,GET,61,3,k51,reqs=75
1777907037848,GET,64,3,k50,reqs=75
1777907037848,GET,41,4,k58,reqs=75
1777907037849,GET,53,3,k55,reqs=75
1777907037856,GET,63,4,k54,reqs=75
1777907037857,GET,57,3,k57,reqs=75
1777907037857,GET,45,2,k61,reqs=75
1777907037858,GET,34,3,k67,reqs=75
1777907037860,GET,28,2,k69,reqs=75
1777907037863,GET,24,3,k73,reqs=75
1777907037865,GET,50,2,k62,reqs=75
1777907037866,GET,30,2,k72,reqs=75
1777907037870,GET,54,2,k64,reqs=75
1777907037873,GET,64,4,k60,reqs=75
1777907037874,GET,48,4,k68,reqs=75
1777907037874,GET,65,4,k59,reqs=75
1777907037874,GET,41,4,k71,reqs=75
1777907037876,GET,54,2,k66,reqs=75
1777907037877,GET,63,3,k63,reqs=75
1777907037889,GET,59,3,k70,reqs=75
1777907037904,GET,62,3,k74,reqs=75
1777907038812,GET,59,3,k4,reqs=75
