timestamp_ms,operation,latency_ms,hop_count,key,extra
1779294425848,PUT,91,4,benchKey_19_0,bytes=29;client_id=19;clients=20;active_nodes=5
1779294425849,PUT,92,4,benchKey_11_0,bytes=29;client_id=11;clients=20;active_nodes=5
1779294425849,PUT,91,4,benchKey_16_0,bytes=29;client_id=16;clients=20;active_nodes=5
1779294425849,PUT,94,4,benchKey_5_0,bytes=28;client_id=5;clients=20;active_nodes=5
1779294425849,PUT,93,4,benchKey_7_0,bytes=28;client_id=7;clients=20;active_nodes=5
1779294425848,PUT,95,4,benchKey_13_0,bytes=29;client_id=13;clients=20;active_nodes=5
1779294425848,PUT,92,4,benchKey_8_0,bytes=28;client_id=8;clients=20;active_nodes=5
1779294425849,PUT,92,4,benchKey_9_0,bytes=28;client_id=9;clients=20;active_nodes=5
1779294425849,PUT,94,4,benchKey_2_0,bytes=28;client_id=2;clients=20;active_nodes=5
1779294425849,PUT,97,4,benchKey_3_0,bytes=28;client_id=3;clients=20;active_nodes=5
1779294425849,PUT,93,4,benchKey_4_0,bytes=28;client_id=4;clients=20;active_nodes=5
1779294425849,PUT,92,4,benchKey_14_0,bytes=29;client_id=14;clients=20;active_nodes=5
1779294425898,PUT,48,4,benchKey_6_1,bytes=28;client_id=6;clients=20;active_nodes=5
1779294425899,PUT,45,4,benchKey_3_1,bytes=28;client_id=3;clients=20;active_nodes=5
1779294425935,PUT,86,4,benchKey_0_1,bytes=28;client_id=0;clients=20;active_nodes=5
1779294425937,PUT,86,4,benchKey_17_1,bytes=29;client_id=17;clients=20;active_nodes=5
1779294425938,PUT,87,4,benchKey_13_1,bytes=29;client_id=13;clients=20;active_nodes=5
1779294425938,PUT,88,4,benchKey_19_1,bytes=29;client_id=19;clients=20;active_nodes=5
1779294425941,PUT,90,4,benchKey_16_1,bytes=29;client_id=16;clients=20;active_nodes=5
1779294425942,PUT,90,4,benchKey_7_1,bytes=28;client_id=7;clients=20;active_nodes=5
1779294425942,PUT,90,4,benchKey_2_1,bytes=28;client_id=2;clients=20;active_nodes=5
1779294425945,PUT,92,4,benchKey_9_1,bytes=28;client_id=9;clients=20;active_nodes=5
1779294425942,PUT,92,4,benchKey_12_1,bytes=29;client_id=12;clients=20;active_nodes=5
1779294425946,PUT,94,4,benchKey_5_1,bytes=28;client_id=5;clients=20;active_nodes=5
1779294425946,PUT,96,4,benchKey_15_1,bytes=29;client_id=15;clients=20;active_nodes=5
1779294425947,PUT,98,4,benchKey_10_1,bytes=29;client_id=10;clients=20;active_nodes=5
